cycle,environment_temperature,nominal_capacity
18,29,1.683101678968233
18,30,1.7097853833764955
18,31,1.7364690877847582
18,32,1.7631527921930208
18,33,1.7898364966012834
18,34,1.816520201009546
18,35,1.8432039054178087
18,36,1.8698876098260713
18,37,1.896571314234334
18,38,1.9232550186425963
18,39,1.949938723050859
18,40,1.9766224274591215
18,41,2.003306131867384
18,42,2.0299898362756466
18,43,2.056673540683909
18,44,2.083357245092172
18,45,2.1100409495004344
18,46,2.136724653908697
18,47,2.1634083583169597
18,48,2.1900920627252223
18,49,2.216775767133485
18,50,2.216775767133485
19,1,0.9339711312751362
19,2,0.9606548356833988
19,3,0.9873385400916614
19,4,1.014022244499924
19,5,1.0407059489081867
19,6,1.0673896533164493
19,7,1.094073357724712
19,8,1.1207570621329745
19,9,1.1474407665412372
19,10,1.1741244709494998
19,11,1.2008081753577624
19,12,1.227491879766025
19,13,1.2541755841742876
19,14,1.2808592885825503
19,15,1.307542992990813
19,16,1.3342266973990755
19,17,1.3609104018073381
19,18,1.3875941062156008
19,19,1.4142778106238634
19,20,1.440961515032126
19,21,1.4676452194403886
19,22,1.4943289238486512
19,23,1.5210126282569139
19,24,1.5476963326651765
19,25,1.574380037073439
19,26,1.6010637414817017
19,27,1.6277474458899643
19,28,1.654431150298227
19,29,1.6811148547064896
19,30,1.7077985591147522
19,31,1.7344822635230148
19,32,1.7611659679312774
19,33,1.78784967233954
19,34,1.8145333767478027
19,35,1.8412170811560653
19,36,1.867900785564328
19,37,1.8945844899725905
19,38,1.921268194380853
19,39,1.9479518987891156
19,40,1.9746356031973782
19,41,2.001319307605641
19,42,2.0280030120139036
19,43,2.0546867164221663
19,44,2.081370420830429
19,45,2.1080541252386915
19,46,2.134737829646954
19,47,2.1614215340552168
19,48,2.1881052384634794
19,49,2.214788942871742
19,50,2.214788942871742
20,1,0.9319843070133929
20,2,0.9586680114216555
20,3,0.9853517158299181
20,4,1.0120354202381807
20,5,1.0387191246464433
20,6,1.065402829054706
20,7,1.0920865334629686
20,8,1.1187702378712312
20,9,1.1454539422794938
20,10,1.1721376466877564
20,11,1.198821351096019
20,12,1.2255050555042817
20,13,1.2521887599125443
20,14,1.278872464320807
20,15,1.3055561687290695
20,16,1.3322398731373322
20,17,1.3589235775455948
20,18,1.3856072819538574
20,19,1.41229098636212
20,20,1.4389746907703826
20,21,1.4656583951786453
20,22,1.4923420995869079
20,23,1.5190258039951705
20,24,1.5457095084034331
20,25,1.5723932128116958
20,26,1.5990769172199584
20,27,1.625760621628221
20,28,1.6524443260364836
20,29,1.6791280304447462
20,30,1.7058117348530089
20,31,1.7324954392612715
20,32,1.759179143669534
20,33,1.7858628480777967
20,34,1.8125465524860593
20,35,1.839230256894322
20,36,1.8659139613025846
20,37,1.8925976657108472
20,38,1.9192813701191096
20,39,1.9459650745273722
20,40,1.9726487789356348
20,41,1.9993324833438975
20,42,2.02601618775216
20,43,2.0526998921604225
20,44,2.079383596568685
20,45,2.1060673009769477
20,46,2.1327510053852103
20,47,2.159434709793473
20,48,2.1861184142017356
20,49,2.212802118609998
20,50,2.212802118609998
21,1,0.9299974827516495
21,2,0.9566811871599121
21,3,0.9833648915681747
21,4,1.0100485959764374
21,5,1.0367323003847
21,6,1.0634160047929626
21,7,1.0900997092012252
21,8,1.1167834136094879
21,9,1.1434671180177505
21,10,1.170150822426013
21,11,1.1968345268342757
21,12,1.2235182312425383
21,13,1.250201935650801
21,14,1.2768856400590636
21,15,1.3035693444673262
21,16,1.3302530488755888
21,17,1.3569367532838514
21,18,1.383620457692114
21,19,1.4103041621003767
21,20,1.4369878665086393
21,21,1.463671570916902
21,22,1.4903552753251645
21,23,1.5170389797334272
21,24,1.5437226841416898
21,25,1.5704063885499524
21,26,1.597090092958215
21,27,1.6237737973664776
21,28,1.6504575017747403
21,29,1.6771412061830029
21,30,1.7038249105912655
21,31,1.7305086149995281
21,32,1.7571923194077907
21,33,1.7838760238160534
21,34,1.810559728224316
21,35,1.8372434326325786
21,36,1.8639271370408412
21,37,1.8906108414491039
21,38,1.9172945458573663
21,39,1.9439782502656289
21,40,1.9706619546738915
21,41,1.9973456590821541
21,42,2.024029363490417
21,43,2.0507130678986796
21,44,2.077396772306942
21,45,2.104080476715205
21,46,2.1307641811234674
21,47,2.15744788553173
21,48,2.1841315899399927
21,49,2.2108152943482553
21,50,2.2108152943482553
22,1,0.928010658489906
22,2,0.9546943628981687
22,3,0.9813780673064313
22,4,1.0080617717146938
22,5,1.0347454761229564
22,6,1.061429180531219
22,7,1.0881128849394817
22,8,1.1147965893477443
22,9,1.141480293756007
22,10,1.1681639981642695
22,11,1.1948477025725321
22,12,1.2215314069807948
22,13,1.2482151113890574
22,14,1.27489881579732
22,15,1.3015825202055826
22,16,1.3282662246138452
22,17,1.3549499290221079
22,18,1.3816336334303705
22,19,1.408317337838633
22,20,1.4350010422468957
22,21,1.4616847466551584
22,22,1.488368451063421
22,23,1.5150521554716836
22,24,1.5417358598799462
22,25,1.5684195642882088
22,26,1.5951032686964715
22,27,1.621786973104734
22,28,1.6484706775129967
22,29,1.6751543819212593
22,30,1.701838086329522
22,31,1.7285217907377846
22,32,1.7552054951460472
22,33,1.7818891995543098
22,34,1.8085729039625724
22,35,1.835256608370835
22,36,1.8619403127790977
22,37,1.8886240171873603
22,38,1.9153077215956227
22,39,1.9419914260038853
22,40,1.968675130412148
22,41,1.9953588348204105
22,42,2.022042539228673
22,43,2.048726243636936
